experiment_name	model_family	experiment_type	relative_source_dir	config_file	has_best_model	has_latest_model	checkpoint_count	has_optimizer_state	miou	accuracy	kappa	f1	precision	recall	loss	best_epoch_or_iter	metric_source	recommend_publish	notes
farseg_data_split/stability_bs26_20260405_115737	FarSeg	stability probe	paddlers/farseg_data_split/output/stability_bs26_20260405_115737	paddlers/farseg_data_split/output/stability_bs26_20260405_115737/config_snapshot/resolved_train_config.json	yes	yes	0	no										no	16类, K=4, heads=4, crop=512, bs=26, epochs=1
fastscnn_data_split/output	FastSCNN	cluster-routed data_split	paddlers/fastscnn_data_split/output	paddlers/fastscnn_data_split/train_config_multihead.json	yes	yes	0	yes										no	16类, K=4, heads=4, crop=512, bs=8, epochs=40
fastscnn_data_split/formal_gpu1_bs32_20260405_191241	FastSCNN	formal routed experiment	paddlers/fastscnn_data_split/output/formal_gpu1_bs32_20260405_191241	paddlers/fastscnn_data_split/output/formal_gpu1_bs32_20260405_191241/config_snapshot/resolved_train_config.json	yes	yes	40	yes										no	16类, K=4, heads=4, crop=512, bs=32, epochs=40
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs04	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs04	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs04/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=4, epochs=1; smoke/probe，不作为正式结果
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs08	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs08	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs08/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=8, epochs=1; smoke/probe，不作为正式结果
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs12	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs12	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs12/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=12, epochs=1; smoke/probe，不作为正式结果
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs16	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs16	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs16/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=16, epochs=1; smoke/probe，不作为正式结果
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs24	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs24	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs24/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=24, epochs=1; smoke/probe，不作为正式结果
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs32	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs32	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs32/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=32, epochs=1; smoke/probe，不作为正式结果
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs36_boundary	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs36_boundary	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs36_boundary/config_snapshot/resolved_train_config.json	yes	yes	1	yes										no	16类, K=4, heads=4, crop=512, bs=36, epochs=1; smoke/probe，不作为正式结果
fastscnn_data_split/gpu1_mem_probe_20260405_190210/probe_bs40_boundary	FastSCNN	smoke/probe	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs40_boundary	paddlers/fastscnn_data_split/output/gpu1_mem_probe_20260405_190210/probe_bs40_boundary/config_snapshot/resolved_train_config.json	yes	yes	0	no										no	16类, K=4, heads=4, crop=512, bs=40, epochs=1; smoke/probe，不作为正式结果
